dkp,product_name,description,classes,stocked
3270000,برچسب بدنه خودرو طرح حسین علیه السلام کد MH104,                                راهنمایی نصب: 1.ابتدا سلفون(برچسب شیشه ای) را از کاغذ جدا نمایید 2.سلفون را در محل مورد نظر تنظیم نمایید 3.به آرامی سلفون را روی بدنه ی خودرو قرار دهید و با دست روی برچسب بکشید تا خوب به بدنه بچسبد 4. و در آخر سلفون(برچسب شیشه ای) را بکنید و مراقب باشید که برچسب اصلی کنده نشود,"['خودرو، ابزار و تجهیزات صنعتی', 'لوازم جانبی خودرو', 'سایر لوازم خودرو']",True
3270001,آباژور  مدل الگا,                                آباژور آینه‎ای الگا با داشتن پایه‎ای با آینه‎های به رنگ دودی، بازتابش بسیار زیبایی از محیط اطراف را نمایش می‎دهد. تعداد نه عدد آینه با تراش دقیق در کنار هم قرار گرفته‎اند تا در نگاه اول چشم هر بیننده‎ای را به خود جلب کنند. به دلیل خاصیت بازتابش نور در آینه، با قرار گرفتن این آباژور در محیط خانه، رنگ و طرح خاص آن محیط بر روی آینه‎ها نقش می‎بندد. برای اولین بار در ساخت کلاهک از پارچه ژاکارد ابریشم گل‎دار با رنگ مشکی استفاده شده تا همخوانی چشم‎نوازی با پایه داشته باشد. طرح روی پارچه کلاهک علاوه بر تناسب زیبایی که با دکوراسیون مدرن دارد، هم‎خوانی بی‎مانندی نیز با دکوراسیون کلاسیک و نئو‎کلاسیک به همراه دارد. قابل توجه است که آباژور آبی دوم مدل الگا در طراحی و جنس به‎ کار رفته مشابهی نداشته است.,"['خانه و آشپزخانه', 'دکوراتیو', 'چراغ خواب و آباژور']",False
3270002,جعبه لوازم خیاطی ژانومه کد 096,,"['خانه و آشپزخانه', 'خواب و حمام', 'ملزومات خیاطی']",True
3270003,کفش زنانه لیانا کد 293-GH,,"['مد و پوشاک', 'زنانه', 'کفش زنانه', 'کفش پاشنه دار زنانه']",True
3270004,کیت آموزشی منظومه شمسی مدل GH3497-5  ,,"['اسباب بازی، کودک و نوزاد', 'سرگرمی و آموزشی', 'اسباب بازی', 'فکری و آموزشی', 'بازی آموزشی']",False
3270005,آباژور رومیزی کد CH 1207,,"['خانه و آشپزخانه', 'دکوراتیو', 'چراغ خواب و آباژور']",False
3270007,پوستر دیواری کد BG 425-1,                                در کاغذ دیواری سفارشی با طرح هایی مانند : شهر، جنگل، دریا، پرتره و ... کیفیت چاپ بسیار مهم می باشد چرا که حس وجود منظره ای دلنشین در منزل و محل کار را به شما القا می کند و همچنین این تصاویر می بایست نسبت به نور مقاوم بوده و قابل شستشو باشد. امروزه در دکوراسیون داخلی، بسیار از این کاغذ دیواری ها استفاده می شوند با جلوه زیباتر، جنس این کاغذهای دیواری ترکیبی از کاغذ، روکش های PVC و یا پلی اورتان می باشد که باعث کیفیت بی نظیر و شستشو پذیری این محصول می شود.,"['خانه و آشپزخانه', 'دکوراتیو', 'کفپوش و دیوارپوش', 'پوستر و کاغذ دیواری']",False
3270008,تی شرت آستین کوتاه مردانه زیزیپ مدل گربه کد 1974T,,"['مد و پوشاک', 'مردانه', 'لباس مردانه', 'تی شرت و پولوشرت مردانه']",True
3270009,کیف پول زنانه کد ۰۲۳,,"['مد و پوشاک', 'زنانه', 'اکسسوری زنانه', 'کیف پول و کیف لوازم آرایش زنانه']",True
3270010,دامن زنانه کد pmkh70 رنگ خردلی,,"['مد و پوشاک', 'زنانه', 'لباس زنانه', 'دامن زنانه']",True
